DATE,DGS1MO,
3/18/13,0.07,
3/19/13,0.08,
3/20/13,0.08,
3/21/13,0.08,
3/22/13,0.07,
3/25/13,0.06,
3/26/13,0.08,
3/27/13,0.06,
3/28/13,0.04,
3/29/13,.,
4/1/13,0.06,
4/2/13,0.06,
4/3/13,0.06,
4/4/13,0.07,
4/5/13,0.05,
4/8/13,0.05,
4/9/13,0.06,
4/10/13,0.07,
4/11/13,0.06,
4/12/13,0.05,
4/15/13,0.04,
4/16/13,0.06,
4/17/13,0.05,
4/18/13,0.03,
4/19/13,0.04,
4/22/13,0.04,
4/23/13,0.04,
4/24/13,0.05,
4/25/13,0.04,
4/26/13,0.04,
4/29/13,0.03,
4/30/13,0.03,
5/1/13,0.03,
5/2/13,0.02,
5/3/13,0.02,
5/6/13,0.01,
5/7/13,0.01,
5/8/13,0.01,
5/9/13,0.02,
5/10/13,0.02,
5/13/13,0.02,
5/14/13,0.01,
5/15/13,0.01,
5/16/13,0,
5/17/13,0.01,
5/20/13,0.01,
5/21/13,0.04,
5/22/13,0.04,
5/23/13,0.03,
5/24/13,0.03,
5/27/13,.,
5/28/13,0.02,
5/29/13,0.04,
5/30/13,0.02,
5/31/13,0.03,
6/3/13,0.03,
6/4/13,0.05,
6/5/13,0.04,
6/6/13,0.04,
6/7/13,0.04,
6/10/13,0.04,
6/11/13,0.05,
6/12/13,0.04,
6/13/13,0.04,
6/14/13,0.04,
6/17/13,0.05,
6/18/13,0.04,
6/19/13,0.04,
6/20/13,0.03,
6/21/13,0.02,
6/24/13,0.01,
6/25/13,0.03,
6/26/13,0.02,
6/27/13,0.02,
6/28/13,0.02,
7/1/13,0.01,
7/2/13,0.02,
7/3/13,0.03,
7/4/13,.,
7/5/13,0.03,
7/8/13,0.02,
7/9/13,0.04,
7/10/13,0.03,
7/11/13,0.02,
7/12/13,0.02,
7/15/13,0.02,
7/16/13,0.02,
7/17/13,0.02,
7/18/13,0.01,
7/19/13,0.01,
7/22/13,0.01,
7/23/13,0.02,
7/24/13,0.02,
7/25/13,0.02,
7/26/13,0.02,
7/29/13,0.01,
7/30/13,0.03,
7/31/13,0.03,
8/1/13,0.02,
8/2/13,0.02,
8/5/13,0.03,
8/6/13,0.05,
8/7/13,0.05,
8/8/13,0.05,
8/9/13,0.05,
8/12/13,0.05,
8/13/13,0.06,
8/14/13,0.06,
8/15/13,0.05,
8/16/13,0.05,
8/19/13,0.03,
8/20/13,0.03,
8/21/13,0.02,
8/22/13,0.01,
8/23/13,0.02,
8/26/13,0.03,
8/27/13,0.04,
8/28/13,0.04,
8/29/13,0.03,
8/30/13,0.02,
9/2/13,.,
9/3/13,0.03,
9/4/13,0.02,
9/5/13,0.03,
9/6/13,0.02,
9/9/13,0.02,
9/10/13,0.01,
9/11/13,0.01,
9/12/13,0.01,
